단가id,회사,차량명,연식,판매가격
873,현대,그랜저 XG,2000,"45,000"
874,현대,아반떼 XD,2000,"30,000"
875,현대,아반떼 XD,2000,"40,000"
876,쌍용,뉴무쏘 디젤 4WD 230S,2000,"50,000"
877,현대,NF 쏘나타,2006,"40,000"
878,BMW(비엠더블유),523,2006,"550,000"
879,쉐보레/GM대우,크루즈 1.6 LTZ,2010,"85,000"
880,쌍용,뉴렉스턴,2005,"40,000"
881,쌍용,뉴렉스턴,2005,"55,000"
882,현대,EF 쏘나타,2000,"40,000"
883,현대,포터2,2006,"50,000"
884,현대,YF 쏘나타,2016,"25,000"
885,Porsche(포르쉐),Cayenne S,2004,"300,000"
886,Porsche(포르쉐),Cayenne S,2004,"300,000"
887,현대,아슬란,2016,"100,000"
888,현대,그랜저 HG,2012,"70,000"
889,Volkwagen(폭스바겐),2.0 TDI,2013,"220,000"
890,기아,카렌스 2 LPG 1.8 GX,2002,"40,000"
891,기아,옵티마,2000,"45,000"
892,Mercedes,벤츠) / S500,1998,"500,000"
893,기아,쏘렌토 디젤(CRDI) 2WD LX,2004,"40,000"
894,현대,뉴 아반떼 XD,2006,"50,000"
895,현대,뉴 아반떼 XD,2006,"45,000"
896,쌍용,무쏘 디젤 602EL,1997,"40,000"
897,기아,오피러스 LPI GH270 고급형,2004,"50,000"
898,쌍용,뉴렉스턴,2006,"55,000"
899,기아,엔터프라이즈 3.0 CEO,2001,"40,000"
900,쌍용,뉴렉스턴,2006,"55,000"
901,현대,다이너스티,1996,"80,000"
902,현대,다이너스티,1996,"60,000"
903,현대,트라제 XG 9인승 디젤 골드,2005,"55,000"
904,현대,아반떼,1996,"30,000"
905,현대,쏘나타 3 1.8 DOHC,1996,"35,000"
906,현대,쏘나타 3 1.8 DOHC,1996,"50,000"
907,현대,쏘나타 3 1.8 DOHC,1996,"50,000"
908,현대,쏘나타 3 1.8 DOHC,1996,"30,000"
909,기아,모하비,2014,"40,000"
910,르노삼성,SM3 SE,2007,"30,000"
911,현대,제네시스 BH330 모던,2016,"150,000"
912,기아,레이 디럭스 스페셜,2012,"120,000"
913,BMW(비엠더블유),320d,2016,"400,000"
914,기아,뉴 모닝 LX,2010,"30,000"
915,르노삼성,All New SM7 LE,2016,"300,000"
916,현대,뉴 EF 쏘나타 1.8 DLX,2002,"120,000"
917,현대,뉴 그랜저 XG S20,2004,"150,000"
918,현대,그랜저 XG Q30,2002,"150,000"
919,현대,아반떼 AD,2015,"55,000"
920,Audi(아우디),A4 2.0,2014,"200,000"
921,BMW(비엠더블유),320i,2010,"500,000"
922,Mercedes,벤츠) / S500,2001,"300,000"
923,Mercedes,벤츠) / S500,2001,"500,000"
924,Mercedes,벤츠) / S500,1991,"300,000"
925,Mercedes,벤츠) / S500,1991,"300,000"
926,Mercedes,벤츠) / E200,2005,"500,000"
927,Volkwagen(폭스바겐),EOS 2.0 TFSI,2008,"500,000"
928,Mercedes,벤츠) / E320,1996,"300,000"
929,Mercedes,벤츠) / E320,1996,"300,000"
930,Volkwagen(폭스바겐),EOS 2.0 TFSI,2008,"300,000"
931,Volkwagen(폭스바겐),Polo 1.6,2014,"500,000"
932,기아,레이 디럭스 스페셜,2012,"200,000"
933,르노삼성,SM3,2009,"40,000"
934,기아,크레도스 1.8 GS Di,1997,"20,000"
935,Volkwagen(폭스바겐),Golf GTI,2007,"200,000"
936,현대,그랜저 2.0,1997,"30,000"
937,BMW(비엠더블유),X5 4.4i,2003,"600,000"
938,현대,엑센트 4DR 1.3 RS,1995,"20,000"
939,현대,그랜저 2.0,1997,"30,000"
940,기아,리오 1.5 RX-V EL,2000,"20,000"
941,현대,마르샤 2.0 VL,1997,"20,000"
942,쌍용,뉴체어맨 CM500S,2001,"150,000"
943,Mercedes,벤츠) / E320,1996,"400,000"
944,BMW(비엠더블유),120d,2011,"500,000"
945,현대,그랜저 2.0,1997,"30,000"
946,기아,오피러스 GH300 고급형,2006,"30,000"
947,현대,쏘나타 3 1.8 DOHC,1997,"20,000"
948,쉐보레/GM대우,마티즈 MD,2011,"60,000"
949,BMW(비엠더블유),740i,1997,"600,000"
950,Mercedes,벤츠) / S600,2001,"500,000"
951,Honda(혼다),Accord,2006,"300,000"
952,기아,그랜드 카니발 GX,2007,"60,000"
953,기아,리오 1.5 RX-V EL,2000,"20,000"
954,쉐보레/GM대우,슈퍼살롱,1995,"20,000"
955,르노삼성,SM3 뉴 제너레이션 LE16,2011,"200,000"
956,쌍용,액티언 스포츠 2WD AX5,1998,"40,000"
957,Jaguar(재규어),XF 2.7D,2009,"300,000"
958,기아,아벨라 1.3 Si 델타,1998,"20,000"
959,Mercedes,벤츠) / S500,2002,"400,000"
960,현대,엑센트 5DR 1.3 유로 멀티,1994,"20,000"
961,쌍용,액티언 스포츠 2WD AX5,2011,"30,000"
962,Chrysler(클라이슬러),300C 2.7,2012,"150,000"
963,BMW(비엠더블유),320d,2006,"200,000"
964,Mercedes,벤츠) / CLK 320 Cabriolet,2003,"300,000"
965,Mercedes,벤츠) / CLK 320 Cabriolet,2003,"300,000"
966,Mercedes,벤츠) / CLK 320 Cabriolet,2003,"300,000"
967,현대,엑센트 5DR 1.3 유로 멀티,1994,"20,000"
968,기아,세피아 1.5 (DOHC),1997,"20,000"
969,쉐보레/GM대우,라노스 1.3 SOHC,1997,"20,000"
970,기아,슈마 1.5 GX,2000,"20,000"
971,Mercedes,벤츠) / C180,1998,"300,000"
972,Audi(아우디),A8 4.2,2007,"300,000"
973,Audi(아우디),A8 4.2,2007,"200,000"
974,Mercedes,벤츠) / C180 (,,"300,000"
975,현대,EF 쏘나타 1.8 DLX,1999,"20,000"
976,쉐보레/GM대우,누비라 D5 1.5 SOHC,1998,"20,000"
977,Mercedes,벤츠) / S500,2002,"600,000"
978,Mercedes,벤츠) / S280,1997,"300,000"
979,Chrysler(클라이슬러),300C 3.0 Diesel,2012,"600,000"
980,쉐보레/GM대우,누비라 D5 1.5 SOHC,1998,"20,000"
981,Chrysler(클라이슬러),300C 2.7,2012,"300,000"
982,현대,YF 쏘나타 CVVL 로얄,2011,"40,000"
983,현대,YF 쏘나타 LPI DTX,2014,"30,000"
984,현대,엑센트 3DR 1.5 프로 CS,1994,"20,000"
985,Mercedes,벤츠) / C220,2008,"300,000"
986,Mercedes,벤츠) / E230,1996,"400,000"
987,Mercedes,벤츠) / C220,2008,"200,000"
988,현대,EF 쏘나타 LPG 2.0 TXL,2000,"20,000"
989,Audi(아우디),A6 3.0Q,2006,"500,000"
990,현대,i30 cw,2009,"20,000"
991,현대,그랜저 XG L30,1999,"30,000"
992,기아,로체 디젤 D-LEV,2005,"30,000"
993,현대,엑센트 3DR 1.5 프로 CS,1997,"20,000"
994,쌍용,코란도 지프 숏밴,1999,"10,000"
995,쌍용,코란도 지프 숏밴,1999,"30,000"
996,Ford(포드),Taurus,1997,"400,000"
997,현대,쏘나타 3 1.8 GL DLX,1996,"20,000"
998,현대,엑셀 3DR 1.3 R,1991,"20,000"
999,현대,그랜저 2.0,1994,"30,000"
1000,현대,그랜저 2.0,1996,"30,000"
1001,Honda(혼다),CR-V,2007,"300,000"
1002,현대,스타렉스 9인승 4WD,2002,"20,000"
1003,현대,엘란트라 1.5 DOHC,1995,"20,000"
1004,Audi(아우디),A8 3.7 Q,2003,"600,000"
1005,BMW(비엠더블유),X5,2003,"300,000"
1006,BMW(비엠더블유),X5 3.0i,2003,"600,000"
1007,Volkwagen(폭스바겐),Polo 1.6,2014,"300,000"
1008,현대,쏘나타 2 1.8 GL,1993,"30,000"
1009,기아,리오 1.5 RX-V EL,2000,"20,000"
1010,BMW(비엠더블유),328i,1997,"200,000"
1011,현대,제네시스 BH330 모던,2010,"150,000"
1012,기아,K5,2013,"200,000"
1013,쉐보레/GM대우,레간자 1.8 DOHC,1997,"20,000"
1014,기아,리오 4DR 1.3 SOHC RS,2002,"20,000"
1015,현대,투스카니 2.0 GL,2002,"30,000"
1016,Honda(혼다),Accord 2.4 (,,"200,000"
1017,Volvo(볼보),S60 2.0T,2002,"150,000"
1018,르노삼성,SM3 뉴 제너레이션 LE16,2007,"150,000"
1019,현대,투스카니 2.0 GL,2002,"50,000"
1020,Mercedes,벤츠) / E250,2014,"300,000"
1021,MINI(미니),MINI Cooper (all body styles),2012,"200,000"
1022,BMW(비엠더블유),X5 3.0d,2008,"300,000"
1023,Chrysler(클라이슬러),Grand Voyager 2.8 Diesel,2002,"200,000"
