단가id,차량명,연식,부품명,부품등급,판매가격
374,에쿠스,1999,프런트 머플러,A등급,"40,000"
375,엑센트,1995,리어 머플러,A등급,"20,000"
376,모닝,2011,센터 머플러,A등급,"30,000"
377,아벨라,1997,센터 머플러,A등급,"10,000"
378,그랜저 XG,2000,프런트 머플러,A등급,"130,000"
379,3시리즈,1995,프런트 머플러,A등급,"300,000"
380,테라칸,2002,프런트 머플러,A등급,"30,000"
381,쏘나타 II,1995,프런트 머플러,A등급,"30,000"
382,EF 쏘나타,1999,센터 머플러,A등급,"20,000"
383,스트라투스,1996,머플러 ASSY,A등급,"250,000"
384,베르나,1999,센터 머플러,A등급,"20,000"
385,쏘나타 II,1995,리어 머플러,A등급,"20,000"
386,리오,2000,센터 머플러,A등급,"20,000"
387,세피아,1997,센터 머플러,A등급,"20,000"
388,레간자,2001,프런트 머플러,A등급,"20,000"
389,카렌스,2002,프런트 머플러,A등급,"20,000"
390,엑센트,1995,센터 머플러,A등급,"20,000"
391,쏘나타 III,1996,리어 머플러,A등급,"20,000"
392,EF 쏘나타,1999,센터 머플러,A등급,"20,000"
393,프린스,1993,센터 머플러,A등급,"20,000"
394,슈마,1998,센터 머플러,A등급,"20,000"
395,누비라,1998,리어 머플러,A등급,"20,000"
396,마티즈,2011,프런트 머플러,A등급,"60,000"
397,마르샤,1997,센터 머플러,A등급,"20,000"
398,리오,2000,리어 머플러,A등급,"20,000"
399,그랜저,1994,프런트 머플러,A등급,"30,000"
400,엑센트,1994,리어 머플러,A등급,"20,000"
401,아벨라델타,1998,센터 머플러,A등급,"20,000"
402,쏘나타 III,1997,센터 머플러,A등급,"20,000"
403,엘란트라,1995,센터 머플러,A등급,"20,000"
404,엑센트,1997,센터 머플러,A등급,"20,000"
405,슈마,2000,리어 머플러,A등급,"20,000"
406,그랜저,1997,프런트 머플러,A등급,"30,000"
407,리오,2000,센터 머플러,A등급,"20,000"
408,쏘나타 II,1993,리어 머플러,A등급,"30,000"
409,엑셀,1991,리어 머플러,A등급,"20,000"
410,그랜저 XG,1999,센터 머플러,A등급,"30,000"
411,누비라,1998,센터 머플러,A등급,"20,000"
412,SM3,2009,리어 머플러,A등급,"40,000"
413,엑센트,1994,리어 머플러,A등급,"20,000"
414,YF 쏘나타,2011,프런트 머플러,A등급,"40,000"
415,라노스,1997,센터 머플러,A등급,"20,000"
416,세피아,1997,센터 머플러,A등급,"20,000"
417,그랜저 TG,2008,프런트 머플러,A등급,"70,000"
418,수퍼살롱,1995,센터 머플러,A등급,"20,000"
419,투스카니,2002,프런트 머플러,A등급,"50,000"
420,오피러스,2006,센터 머플러,A등급,"30,000"
421,크레도스,1997,리어 머플러,A등급,"20,000"
422,엑센트,1994,센터 머플러,A등급,"20,000"
423,리오,2000,리어 머플러,A등급,"20,000"
424,티뷰론,1996,프런트 머플러,A등급,"30,000"
425,뉴 체어맨W,,리어 머플러,A등급,"40,000"
426,EF 쏘나타,2000,센터 머플러,A등급,"20,000"
427,엘란트라,1992,리어 머플러,B등급,"20,000"
428,엑센트,1995,센터 머플러,A등급,"20,000"
429,뉴 체어맨W,,센터 머플러,A등급,"100,000"
430,리오,2000,센터 머플러,A등급,"20,000"
